land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
farmStony_5,40.352764,-74.719865,40.3563871884058,-74.72444375457876,40.349140811594204,-74.71528624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmStony_6,40.352764,-74.698661,40.3563871884058,-74.70323975457876,40.349140811594204,-74.69408224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmStony_7,40.342669,-74.74057,40.3462921884058,-74.74514875457876,40.339045811594204,-74.73599124542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmStony_8,40.342669,-74.719865,40.3462921884058,-74.72444375457876,40.339045811594204,-74.71528624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmStony_9,40.342669,-74.698661,40.3462921884058,-74.70323975457876,40.339045811594204,-74.69408224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenMtLake_1,40.375474,-74.693112,40.379097188405794,-74.69769075457876,40.3718508115942,-74.68853324542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenMtLake_2,40.375474,-74.672103,40.379097188405794,-74.67668175457877,40.3718508115942,-74.66752424542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenMtLake_3,40.375474,-74.650875,40.379097188405794,-74.65545375457876,40.3718508115942,-74.64629624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenMtLake_4,40.365934,-74.693112,40.3695571884058,-74.69769075457876,40.362310811594206,-74.68853324542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenMtLake_5,40.365934,-74.672103,40.3695571884058,-74.67668175457877,40.362310811594206,-74.66752424542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
