land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
schTollGram_8,40.311546,-74.78868,40.31516919,-74.79325875,40.30792281,-74.78410125,0.023932138,0.134070601,0.05647943,0.577184703,0.039047914,0.132620412,0.036664802,0.155758205,0.152602714,0.118919435,0.391019404,0.062425038,0.103068413,0.016206791
schTollGram_9,40.311546,-74.767619,40.31516919,-74.77219775,40.30792281,-74.76304025,0.127468566,0.138104069,0.030211909,0.457715433,0.157664246,0.077885973,0.010949804,0.241796636,0.121952106,0.033607956,0.369141591,0.099403898,0.123224732,0.010873082
univArtMuseum_1,40.354959,-74.677713,40.35858219,-74.68229175,40.35133581,-74.67313425,0.042956959,0.121480184,0.021903337,0.586267666,0.153113304,0.07427855,0,0.137942008,0.165449665,0.00685603,0.496984889,0.105424985,0.044949111,0.042393311
univArtMuseum_2,40.354959,-74.656639,40.35858219,-74.66121775,40.35133581,-74.65206025,0.14937496,0,0,0.306304243,0,0.544320797,0,0.094293666,0.00315236,0,0.328580374,0.001740814,0.572232787,0
univArtMuseum_3,40.354959,-74.635716,40.35858219,-74.64029475,40.35133581,-74.63113725,0.040357726,0.012938112,0,0.903214467,0.0003446,0.043145094,0,0.021117274,0.038789499,0,0.77497577,0.066069703,0.099047753,0
univArtMuseum_4,40.343974,-74.677713,40.34759719,-74.68229175,40.34035081,-74.67313425,0.041828567,0.148240447,0.024711614,0.540189388,0.005498379,0.239531605,0,0.081198901,0.181273904,0.020488368,0.58536879,0.014913986,0.116756051,0
univArtMuseum_5,40.343974,-74.656639,40.34759719,-74.66121775,40.34035081,-74.65206025,0.198076132,0.02515122,0.002725775,0.004256565,0.003953269,0.76583704,0,0.223696347,0.066076204,0.008916659,0.034474231,0.050970201,0.615866359,0
univArtMuseum_6,40.343974,-74.635716,40.34759719,-74.64029475,40.34035081,-74.63113725,0.035155937,0.039556366,0.047517912,0.40426639,0.362692694,0.089057029,0.021753672,0.178795012,0.041095913,0.054906447,0.266406417,0.262262889,0.188608508,0.007924815
univArtMuseum_7,40.334793,-74.677713,40.33841619,-74.68229175,40.33116981,-74.67313425,0.137228684,0.14454959,0,0.669462281,0.048267052,0.000492392,0,0.156656249,0.19068822,0.010604475,0.475325632,0.059024677,0.095965789,0.011734958
univArtMuseum_8,40.334793,-74.656639,40.33841619,-74.66121775,40.33116981,-74.65206025,0.327116761,0.150241595,0,0.019932782,0.165449176,0.337259686,0,0.272392691,0.195598016,0.029140873,0.073466743,0.176179143,0.250190392,0.003032142
